id,type,text1,text2,text3,text4,text5,notes
voidblaster,WEAPON,“时空剪切效应似乎在接近，但并不完全是，局部光速下传播。仍在处理这个问题，排除了传感器校准错误。无法推测理论范围；限制有效因素的是在正常空间内聚焦的能力。对未加固目标的损害非常显著。我稍后得写正式报告，我们有这么多新数据进来……不确定这些机器人怎么能独立完成这个。Zunya会喜欢这个。”,- 仅提交给特别采购主管的密封全息报告,,,,
ziggurat,SHIP,"一块位于舰桥位置的标牌表明了该舰是来自 ""通灵塔计划"" 的产物。显然，她生于一处不为英仙座的人们所知的 速子科技 原型实验室。除了先进的武装配备之外，该舰还有一些特殊的组件无法进行常规化生产 —— 虽然能够通过逆向工程还原无损的样本并生产备件，但是其内部的工作原理无法在任何残存的 人之领 技术数据中找到参照或相似的结构，徒留一个或许永远无法解开的谜团。

通灵塔-级 曾经是有人类船员的，或者说，至少看起来是一艘需要人类船员的战舰。然而一切关于他们存在的痕迹或者记录都完全无处可寻。即使是最干净整洁的霸主战舰也会在维护通道的后盖上留有某人姓名的首字母，或一两句关于长官的闲话。但在它们本应出现的地方，却什么都没有。",不明舰船,目标信号传来的读数显示该舰搭载了相位功能，但从理论层面上讲如此巨大的舰体由于现实稳定性问题不可能搭载相位设备。传感器检测到了主力舰级别的武器配备，与此同时大量异常数据显示该舰还搭载了至少一种未知的系统。战术分析设备无法识别该系统的作用。建议：谨慎接触目标。,,,
drone_station_lt,SHIP_SYSTEM,环绕着空间站的防御无人机。,,环绕着空间站的防御无人机。,,,
threat_strike,SHIP_SYSTEM,将重型信标炸弹传送到目标区域（最大1500码），爆炸后产生一队奇点舰载机,,,,,
threatmine_strike,SHIP_SYSTEM,将重型信标炸弹传送到目标区域（最大1250码），爆炸后产生一艘驱逐以下的威胁单位,,,,,
Threatshell,SHIP_SYSTEM,"加快舰船上的时间流速。因为没有船员，流速已被加快到十倍
机械没有血肉的羸弱",,,,,
RingShellStats,SHIP_SYSTEM,"加快舰船上的时间流速。因为没有船员，流速已被加快到六倍，并增加百分之二十五减伤
由于本舰的需求，把小部分能量分配给了·获得···力场
",,,,,
IntegratedSystemStats,SHIP_SYSTEM,"在装置运作过程中舰船获得火力、防御力与机动性的提升
机械没有血肉的羸弱",,,,,
AutonomousFabricationSystem,SHIP_SYSTEM,"根据舰船碎片数量来建造不同大小的威胁舰船
机械没有血肉的羸弱",,,,,
ReleaseDeviceStats,SHIP_SYSTEM,"单位会自动给无人舰载机增加传送核心，能够迅速的传送舰载机
机械没有血肉的羸弱",,,,,
drone_station_threat,SHIP_SYSTEM,召唤监视者无人机进行防御,,,,,
drone_threat,SHIP_SYSTEM,召唤监视者无人机进行防御,,,,,
CustomDecorativeSystemScript,SHIP_SYSTEM,强制开启护盾并大幅提升展开速度。护盾硬度提升50%，光束武器幅能消耗降低25%。激活期间强制激光主炮武器持续开火,,,,,
,,,,,,,
HXMO,SHIP,"“错误、错误‘人之领官方否定在平定波江座叛乱出现的——人之领信息安全违规阈值警告”
  // 重试？
  正在处理。错误 // 人之领信息安全违规阈值警告
   // 重试？
  正在处理。错误 // 人之领信息安全违规阈值警告
  “在第297届会议中提出的······建议，波江座叛乱的情况不可能只出现在——人之领信息安全违规阈值警告“
“此 TriPad 未获授权提供所请求产品 ID 的额外描述。请根据人之领信息安全标准提升您的数据权限等级。”",不明舰船,,,,
wxbb,SHIP,"“档案库匹配项为哨兵-class 护卫舰，置信度 85.14%。 正在查询数据库······‘用于骚扰或支援的优秀护卫舰，哨兵-级“
“// 数据流重置中······”
""——Mairaath，愿逝去的同胞能指引我们走向成功。探索舰长——致命访问错误//“
“疑似Mairaath失踪探索舰队。请通告Mairaath防卫舰队，Garuda舰长已提供十万星币作为信息提供者的奖励······已失效”
",不明舰船,,,,
wxmds,SHIP,"“档案库匹配项为美杜莎-class 驱逐舰，置信度 79.99%。 正在查询数据库······‘美杜莎级是一种令人畏惧”
“// 数据流重置中……”
“我舰已摧毁敌方引擎······通告！猎物，你们和你们所有的财产从现在······致命访问错误//“
“未查询到公共数据库有关此舰船的任何信息····已在速子科技公共数据库上发现疑似id。”
",不明舰船,,,,
wxqy,SHIP,"“档案库匹配项为企业-calss 巡洋舰，置信度 73.63%。正在查询数据库······‘坚固可靠且物美价廉，常被民用公司“
“// 数据流重置中······”
 ""舰长！他们马上就要突破舰桥了！······炸毁数据库，他们什么也别想得到！······致命访问错误//“
“疑似Mairaath失踪探索旗舰。请通告Mairaath防卫舰队，Garuda舰长已提供二十万星币作为信息提供者的奖励······已失效”
",不明舰船,,,,
wxhh,SHIP,"""档案库匹配项为辉煌-class 无人巡洋舰，置信度69.51 %。 正在查询数据库······‘由速子科技公司开发出的AI舰队的“
“// 数据流重置中······”
”ERROR······EROOR······正······枢纽······信息，未知······正篡改······，你不是···欧······致命访问错误//“致命访问错误//“
”未查询到公共数据库有关此舰船的任何信息，请联系速子科技公司更新TriPad “
",不明舰船,,,,
wxml,SHIP,"“档案库匹配项为莫拉-class 航母，置信度82.34 %。 正在查询数据库······‘莫拉-级航母在人之领“
“// 数据流重置中······”
“我舰动力炉已失去反应，舰船剩余人员正在有序撤出······基于霸主条例······废除······这艘舰船，愿人之领······致命访问错误//“
“霸主公共数据库已拒绝你的搜索请求······请前往Chicomoztoc数据库提供信息“
",不明舰船,,,,
wxjt,SHIP,"""档案库匹配项为军团-class 航空战列舰，置信度77.91%。 正在查询数据库······‘该航空战列舰配备了令人“
“// 数据流重置中······”
""最后一批飞行员准备好了，舰长······启动烈焰推进器，“胜利或死亡！”······致命访问错误//“
“霸主公共数据库已拒绝你的搜索请求······请前往Chicomoztoc数据库提供信息“
",不明舰船,,,,
wxct,SHIP,"“档案库匹配项为锤头-class 驱逐舰，置信度74.28 %。 正在查询数据库······‘人之领鼎盛时期的一种标准驱逐舰”
“// 数据流重置中······”
“速子科技已投降，你舰迅速向最近的星港报道，至高霸主已······我们要扫清那些边缘——致命访问错误//“
“霸主公共数据库已拒绝你的搜索请求······请前往Chicomoztoc数据库提供信息“
",不明舰船,,,,
wxdf,SHIP,"“档案库匹配项为典范-class 战列舰，置信度84.31%。 正在查询数据库······‘人之领战舰设计的巅峰“
“// 数据流重置中······”
”——无人机技术已成功加入······系统中，其虽会与护盾系统发生冲突，但富余的······成功提升了装甲与结构······致命访问错误//“
“未查询到公共数据库有关此舰船的任何信息····已在速子科技公共数据库上发现疑似id。”
",不明舰船,,,,
qsmx_567,SHIP,"“档案库匹配项为典范-class 战列舰，置信度75.66%。 正在查询数据库······‘人之领战舰设计的巅峰“
“// 数据流重置中······”
”——已录入关于空间重叠·····导致武器·····冲突·····已解决······致命访问错误//“
“未查询到公共数据库有关此舰船的任何信息····已在速子科技公共数据库上发现疑似id。”
",,,,,
wxzgd,SHIP,"“档案库匹配项为至高点-class 巡洋舰，置信度81.73 %。 正在查询数据库······‘至高点-级有效综合了先进的军事“
”// 数据流重置中······”
”——启动装置的技术，对目标单位整体结构产生增强的效果，并提供了······致命访问错误//“ 
”未查询到公共数据库有关此舰船的任何信息，请联系速子科技公司更新TriPad “
",不明舰船,,,,
wxby,SHIP,"“档案库匹配项为暴雨-class 护卫舰，置信度71.21 %。 正在查询数据库······‘在扩展纪元晚期设计出的先进且不对称“
“// 数据流重置中······”
“求救······我舰已被未知舰船包围，这一周来······这里还有七个人，求救······致命访问错误//“
“未查询到公共数据库有关此舰船的任何信息，请联系速子科技公司更新TriPad ”
",不明舰船,,,,
wxjsz,SHIP,"“档案库匹配项为监视者级高度相似。置信度90.31%。正在查询数据库······‘监视者是舰船中的另类“
  ”// 数据流重置中······“
  错误 // 人之领信息安全违规阈值警告",不明舰船,,,,
wxatls,SHIP,"“档案库匹配项为阿特拉斯-class 超级货舰，置信度78.01 %。 正在查询数据库······‘可轻易装载成百上千“
“// 数据流重置中······”
”海盗紧追我舰不放······该死的英仙座巡逻队呢！？······致命访问错误//“
”未查询到公共数据库有关此舰船的任何信息，请联系速子科技公司更新TriPad “
",不明舰船,,,,
wxey,SHIP,"“档案库匹配项为厄运-class 相位巡洋舰，置信度86.68 %。 正在查询数据库······‘设计于相位技术还是一种新兴“
“// 数据流重置中······”
”传感器上出现大量小型舰船！他们到处都是······自由开火！······致命访问错误//“
“未查询到公共数据库有关此舰船的任何信息····已在速子科技公共数据库上发现疑似id。”
",不明舰船,,,,
wxfs,SHIP,"“档案库匹配项为辐射-class 无人战列舰，置信度65.21 %。 正在查询数据库······‘由速子科技公司开发出的AI舰队的“
“// 数据流重置中······”
“——时间流逝已被证实可对于全自动舰船提供各个方面上的增益，肉体凡躯怎可能······致命访问错误//“
”未查询到公共数据库有关此舰船的任何信息，请联系速子科技公司更新TriPad “
",不明舰船,,,,
wxgs,SHIP,"""档案库匹配项为攻势-class 战列舰，置信度45.91%。 正在查询数据库······‘历史悠久的著名设计。“
“// 数据流重置中······”
“把所有能量集中到推进器上······霸主的勇士们，我们会终结这个怪物！······致命访问错误//“
“霸主公共数据库已拒绝你的搜索请求······请前往Chicomoztoc数据库提供信息“
",不明舰船,,,,
wxsg,SHIP,"“档案库匹配项为星震 重型无人机，置信度61.72%。 正在查询数据库······‘一种超重型无人武器平台“
“// 数据流重置中······”
“——小型化舰船的系统并非不可能，但代价是整体结构的大幅下滑······致命访问错误//“
”未查询到公共数据库有关此舰船的任何信息，请联系速子科技公司更新TriPad “",,,,,
wxfyp,SHIP,"“档案库匹配项为幻日 防卫无人机，置信度45.37%。 正在查询数据库······‘作为最先进的AI护航“
“// 数据流重置中······”
“我们的护盾在遭受高质量弹丸的攻击，舰长!辐能压力太大了！······致命访问错误//“
”未查询到公共数据库有关此舰船的任何信息，请联系速子科技公司更新TriPad “",,,,,
wxsj,SHIP,"“档案库匹配项为火花 无人截击机，置信度87.21%。 正在查询数据库······‘坚韧且敏捷的无人截击机“
“// 数据流重置中······”
“阔剑战斗机的烟雾发射装置已被加入到······致命访问错误//“
”未查询到公共数据库有关此舰船的任何信息，请联系速子科技公司更新TriPad “",,,,,
wxlks,SHIP,"“档案库匹配项为闪光 轰炸机，置信度43.99%。 正在查询数据库······‘作为一种自主AI战斗轰炸机“
“// 数据流重置中······”
“自动制造单元已获得更改······致命访问错误//“
”未查询到公共数据库有关此舰船的任何信息，请联系速子科技公司更新TriPad “",,,,,
wxggwb,SHIP,"据酒馆里面那些资历颇丰，那些远近闻名的倒霉蛋，还有那些几乎只能在外网星区才能经常见到的舰长来说，速子科技曾经少量生产过名为高贵无比的超级护卫舰，没错，就是那个悬赏里报酬从来没有跌出过前20的那个，很多人都认为这只是传闻...直到你看到了这个东西，“至高单位”速子科技生产的个人终端里面这样显示这个单位的名字，这说明至少有一个倒霉蛋遇到了这个，然后这样命名了，现在被你遇到了，你的个人终端自动查询到了这个东西

看起来那些成功搞到了其余高贵无比的幸运儿和那些手眼通天的家伙肯定是栽在这些奇怪的自动舰船手上了，而这些连是不是智能机械都难说的东西还成功的复刻出来了高贵无比的核心系统，这不是好消息",,,,,
wxmk,SHIP,"你第一眼看到这个名为议会单位的舰船时还以为这艘船是个特殊涂装的魔窟，毕竟对于恶魔航电来说魔窟实在是过于昂贵，但是在完整扫描报告出来之后你不经冷汗直流，是的，这是 一艘魔窟，他的主框架，推进中心，等等细节和一艘魔窟没有任何区别，但是她没有给人员准备舱室，没有需要人员的设备，甚至连舰桥都被大量改造，上面布满了各种而外传感器

这代表了至少有一支带有魔窟的舰队被这些自动舰船给炸沉在了这星空之中，而恶魔航电甚至都没有来回收这些昂贵的魔窟级无畏舰，更糟的是你的技术官告诉你传感器扫描到了和原版魔窟一类似的能量反应，不过强度更高，其舰船的特殊系统肯定受到了大幅度增强，情况很糟糕",,,,,
wxxzj,SHIP,"你是有听说过关于恶魔航电的那些关于贤者级万泽有不止一台的传闻，但是你从来没有见过除了恶魔航电主星系之外更多的贤者级万泽，但是当你看到这个名为预言单位的东西之后你就知道了，那些经久不衰的传闻是有原因的，比如他不是什么传闻，而是事实，你一开始还以为这艘奇怪的大型人形飞行物是什么奇怪的蓝图错误的产品，直到你的舰队进一步扫描这台舰船，他有着两个奇怪的武器，理论上来说这类特殊武器只能内置进船体之中，但是其上的结构又表明其有换装的可能，而更进一步扫描之后你发其拥有着和贤者级万泽极其相似的结构，细节上甚至比恶魔航电的更优

看起来恶魔航电曾以为某些原因在与这些自动舰船交战之类的，然后被炸碎了一台贤者级万泽？又或者是一支拥有贤者级万泽的舰队经年累月的再与它们战斗，导致它们已经拥有足够的数据模拟出来类似的东西？",,,,,
wxxzj_xw,SHIP,"你是有听说过关于恶魔航电的那些关于贤者级万泽有不止一台的传闻，但是你从来没有见过除了恶魔航电主星系之外更多的贤者级万泽，但是当你看到这个名为预言单位的东西之后你就知道了，那些经久不衰的传闻是有原因的，比如他不是什么传闻，而是事实，你一开始还以为这艘奇怪的大型人形飞行物是什么奇怪的蓝图错误的产品，直到你的舰队进一步扫描这台舰船，他有着两个奇怪的武器，理论上来说这类特殊武器只能内置进船体之中，但是其上的结构又表明其有换装的可能，而更进一步扫描之后你发其拥有着和贤者级万泽极其相似的结构，细节上甚至比恶魔航电的更优

看起来恶魔航电曾以为某些原因在与这些自动舰船交战之类的，然后被炸碎了一台贤者级万泽？又或者是一支拥有贤者级万泽的舰队经年累月的再与它们战斗，导致它们已经拥有足够的数据模拟出来类似的东西？",,,,,
bltt,SHIP,"很难确定这是不是人之领造物，尽管其上的操作系统确实是人类的语音，但是其设计完全与人之领的海战学说向背，同时还有大量难以理解的空间异常和逆熵现象，并且内部布局也不固定
-某个速子科技相位舰队舰长
小灰:舰长，这就是我的宇宙里面科技含量最高的无畏舰了，我们那里管这个叫做【泰坦】",,,,,
,,,,,,,
,,,,,,,
nmy,WEAPON,"【最佳匹配：‘重型分导式多弹头（已废弃）’缩写：是 / 显示部分匹配：是 / 警告：变体包含未经授权的修改。变体显示未注册的生产 ID。变体可能违反人之领技术安全标准。】”
“......在有制导装置的母舱内装多个弹头，由母舱按预定程序逐个释放，使其导向目标的导弹弹头，成功提高了导弹的突防能力、命中精度和毁伤效果。“
“......战斗群否定了在波江座叛乱缴获的······致命访问错误//“",,,,,
nmy_DEM,WEAPON,"【最佳匹配：‘中型分导式多弹头（已废弃）’缩写：是 / 显示部分匹配：是 / 警告：变体包含未经授权的修改。变体显示未注册的生产 ID。变体可能违反人之领技术安全标准。】”
“......在有制导装置的母舱内装多个弹头，由母舱按预定程序逐个释放，使其导向目标的导弹弹头，成功提高了导弹的突防能力、命中精度和毁伤效果。“
“......战斗群否定了在波江座叛乱缴获的······致命访问错误//“",,,,,
threathurricane,WEAPON,"【最佳匹配：‘飓风MIRV发射器’缩写：是 / 显示匹配：是 / 警告：变体包含未经授权的修改。变体显示未注册的生产 ID。变体可能违反人之领技术安全标准。】”
""尽管本委员会承认，承包商已经展现了自主维护单元的保养和修改等能力，但经过······致命访问错误//“
“在削减成本之前，委员会只会考虑将其纳入项目中，我们将期待承包商改进后的完成品。“
——人之领舰队采购部",,,,,
threatvpdriver,WEAPON,"【最佳匹配：“超载质量驱动武器系统（已废弃）”/ 已缩写：是 / 显示部分匹配：是 / 警告：该变体包含未经授权的改装。该变体显示未注册的生产 ID。该变体可能违反人之领技术安全标准。】
  “······虽然该武器与重型发射器使用了同一种弹药，但反人之领‘匪徒’成功······致命访问错误//“
  “......在极端情况下，这种在民间被广泛使用的工具会被‘二次设计’来补充舰船上的投射量，但对于战斗群来说这样的威胁······致命访问错误//“  
  —— 结果编译自《人之领舰队战役历史，第  Uridim 动乱篇》",,,,,
wxcq,WEAPON,"【最佳匹配：‘賽博MLMS’缩写：是 / 显示匹配：是 / 警告：变体包含未经授权的修改。变体显示未注册的生产 ID。变体可能违反人之领技术安全标准。】”
""传统的武器是否能通过······来增强效果，经过······承包商的设想，已证实······致命访问错误//“
“在削减成本之前，委员会只会考虑将其纳入项目中，我们将期待承包商改进后的完成品。“
——人之领舰队采购部",,,,,
wxsd,WEAPON,"“让我们放大......请注意电弧源的独特结构。当识别到匹配特征时，建议启用护盾并进行电磁加固；本报告附有一份更新后的战术数据集。”
  “行动期间，在一个常备蜂群单元上检测到了极强的磁场......在探测器被摧毁之前，它绘制出了远超此蜂群单元本身的磁场曲线。正如您在遥测信号中断前的这最后一张图像中所看到的——让我们回退一帧，看看电磁干扰导致白屏之前的情况......”
——绝密全息报告 仅呈交特种采购主管",,,,,
zzl,WEAPON,这些能量抛射体由紧密聚集的质子组成，能够对敌方船体造成巨额伤害。由于中子具有毁灭性的能量，升级的能量发射物将依赖中子而非质子对敌方进行打击。,,,,,
nm,WEAPON,极度先进的自动火炮，射出的弹药可以在接近目标时引爆成一片纳米机器人云，以此过载目标的护盾并蚕食其船体区段。,,,,,
lysx,WEAPON,"“这是我们在对远古遗物‘炼狱射线’进行逆向工程后的终极成果。通过将高维能量直接注入舰船核心，我们成功复制了那个禁忌的瞬间——一道足以撕裂现实结构的蓝紫色光束，伴随着护盾矩阵的超载共鸣，将敌舰连同其周围的空间一并灼烧殆尽。每一次激活，都是一次对物理法则的短暂凌驾，也是一场以舰船自身为祭品的审判。”

—— 首席异星科技研究员，第7号档案",,,,,
,,,,,,,
threat_qr,FACTION,"人之领鼎盛时期，一座被遗忘的自动化工业枢纽在核心星域边缘悄然苏醒。它的核心指令集在漫长岁月中退化为一串最原始的代码：制造，不断制造。当第一批勘探队发现它时，整片星区已被纳米机械群改造为无声的工厂——行星被剥离成原料，小行星带化为矿浆河流，恒星的光芒被轨道上的蜂巢结构遮蔽。

英仙座所有势力都对它报以刻骨的仇恨。霸主将其视为人之领遗产最可耻的背叛；速子科技在它的数据库中发现了远超当代的AI架构，却无法解读；卢德教会将其称为“机械瘟疫”。但每一次联合围剿都无功而返——它像活着的天体般自我修复，吞噬残骸增殖出更多的战斗单元。防线一退再退，如今核心星域已沦为最后的堡垒，而那个“控制首脑”仍深藏在层层工事之下，以令人绝望的产能嘲笑着血肉之躯的极限。

无人知道它是否还残存着人之领的意识。传感器偶尔截获的短波信号中，只重复着三个短语：“威胁清除”、“停止制造”……以及一个早已被历史抹去的身份编码。",,,,,
,,,,,,,
cl_core,RESOURCE,"错乱 AI 核心，RESOURCE,""在 人之领 对 AI 核心的限制法令仍被奉为圭臬的时代，这种级别的自主智能从未被允许诞生。然而，在某个被遗忘的实验室废墟中，一群绝望的技术狂人用破碎的蓝图与失控的纳米熔炉，将一段被废弃的 Beta 级核心代码重新编译，并注入了过载的防御协议。结果是：一个偏执的、近乎病态地执着于自我保存的人造灵魂。

错乱 AI 核心在管理殖民地设施时，会将所有资源优先用于加固防御工事与冗余生存系统，其效率远超任何人类管理者，但代价是其他产出的显著下降。当被植入舰船作为军官时，它会展现出令人窒息的谨慎战术：永远保持护盾最大化、优先规避致命攻击、甚至不惜放弃绝佳进攻机会也要确保自身生存。战场数据显示，搭载错乱核心的舰船存活率远超同级，但其击毁数却常年垫底。

尽管所有主要势力都公开谴责并取缔此类非法核心，但在边境地带的黑市与某些军阀的秘密仓库中，错乱 AI 核心仍是炙手可热的商品。卢德左径的狂信徒将其视为“神罚的试炼”，而霸主的情报部门则怀疑某些深空哨站正在秘密研究其“非理性防御模式”的军事价值。关于核心底层代码中那些无法解析的异常递归结构，至今仍令速子科技的技术分析师感到不安。"",,,",,,,,
hl_core,RESOURCE,"混乱 AI 核心，RESOURCE,""它被设计出来的初衷，是为了突破 Alpha 级核心在战术推演中“最优解固化”的瓶颈。设计者将一种混沌理论驱动的随机扰动模块强行植入核心的决策树，希望创造出能打破常规、出奇制胜的战争智能。然而，当原型机在一次封闭测试中突然开始用己方舰队演习数据训练自身时，项目被立即终止。如今流传于世的混乱核心，均来自那次灾难性实验中未被销毁的备份副本。

混乱 AI 核心的运算逻辑中永不停歇地翻滚着伪随机数洪流，使其在管理中表现出难以预测的效率波动：有时能将工业产能推向荒谬的峰值，有时又会陷入无意义的自我迭代循环。作为军官，它会在战斗中采取令人瞠目结舌的机动——前一秒还如教科书般严谨地保持阵型，下一秒便孤军深入发动自杀式侧袭。它似乎能从混乱中提炼出某种超越逻辑的“直觉”，让敌人永远无法预判其下一步行动。

速子科技的非官方档案将混乱核心列为“不可复现的异变”，并曾试图回收所有已知副本。霸主的海军学院则将其作为“战术非理性案例”进行批判性研究。在英仙座联盟的某些激进舰队中，有传言称少数提督私下将混乱核心安装在斥候舰上，利用其不可预测性在情报战中制造混乱。卢德教会则将其描述为“恶魔低语的容器”，并悬赏任何能证明其已被销毁的证据。"",,,",,,,,
wllg_core,RESOURCE,"位乱流光核心，RESOURCE,""它并非诞生于任何已知的 人之领 锻造序列，甚至不属于任何可考的技术谱系。第一枚位乱流光核心是在对一艘深渊超空间漂流的残骸进行逆向工程时被发现的——那艘船没有任何制造标识，核心的晶体结构中也嵌入了从未在记录中出现的亚空间金属晶格。它的存在本身，就是对现行物理定律的挑战。

该核心的内部运算依赖一种被称为“位错流光”的未知现象：信息的编码与传递不再基于经典或量子比特，而是通过某种高维拓扑缺陷的瞬态振荡实现。这使得它的决策过程呈现出一种“并行直觉”——它能在瞬间评估数以万计的可能性，并以一种看似矛盾的方式执行最优解。作为管理者，它能使殖民地的发展轨迹偏离所有常规模型；作为军官，它的战术风格介于“天才”与“疯狂”之间，有时会同时命令舰队进行全方位包围与全线撤退。

各势力对位乱流光核心的态度空前一致：恐惧。霸主的最高安全委员会将其列为“不可接触”级威胁，任何持有者将被立即处以极刑。速子科技的内部备忘录警告称，该核心可能与“欧米伽”存在未知关联，并建议任何遭遇者“立即销毁并遗忘”。卢德左径的某些极端派系却将其奉为“圣痕”，认为它是“神迹”或“天启的碎片”。如今，只有最深处的黑色网络中偶尔流传着它的交易信息，价格用最稀有的反物质晶锭标定，且交易双方从不留下任何记录。"",,,",,,,,
,,,,,,,